instant,timestamp,hr,actual,prediction,residual
13976,2012-08-10 12:00,12,315,249.08620935618308,-65.913790643816924
13977,2012-08-10 13:00,13,290,277.34384471672251,-12.656155283277485
13978,2012-08-10 14:00,14,307,284.2740424424494,-22.725957557550601
13979,2012-08-10 15:00,15,324,315.72071221781061,-8.2792877821893853
13980,2012-08-10 16:00,16,467,309.70507895182232,-157.29492104817768
13981,2012-08-10 17:00,17,730,328.50069529065536,-401.49930470934464
13982,2012-08-10 18:00,18,640,304.11083260149985,-335.88916739850015
13983,2012-08-10 19:00,19,492,310.94299047070251,-181.05700952929749
13984,2012-08-10 20:00,20,370,304.1349737502868,-65.865026249713196
13985,2012-08-10 21:00,21,286,310.77039392082679,24.770393920826791
13986,2012-08-10 22:00,22,218,296.56989171040368,78.569891710403681
13987,2012-08-10 23:00,23,192,310.9912727682763,118.9912727682763
13988,2012-08-11 00:00,0,180,142.87193542825295,-37.128064571747046
13989,2012-08-11 01:00,1,116,129.22799046908099,13.227990469080993
13990,2012-08-11 02:00,2,85,122.12519619347839,37.125196193478388
13991,2012-08-11 03:00,3,21,113.15026407045359,92.150264070453588
13992,2012-08-11 04:00,4,10,119.68764438446939,109.68764438446939
13993,2012-08-11 05:00,5,11,117.25386294501399,106.25386294501399
13994,2012-08-11 06:00,6,23,124.18406067074083,101.18406067074083
13995,2012-08-11 07:00,7,62,146.72526867564676,84.72526867564676
13996,2012-08-11 08:00,8,162,160.0985772284188,-1.9014227715811955
13997,2012-08-11 09:00,9,271,181.45392638157188,-89.546073618428125
13998,2012-08-11 10:00,10,407,232.22485822867674,-174.77514177132326
13999,2012-08-11 11:00,11,499,238.49980086101402,-260.50019913898598
14000,2012-08-11 12:00,12,546,267.15025363326453,-278.84974636673547
14001,2012-08-11 13:00,13,569,304.50943047730766,-264.49056952269234
14002,2012-08-11 14:00,14,538,311.04681079132354,-226.95318920867646
14003,2012-08-11 15:00,15,562,323.4973561596355,-238.5026438403645
14004,2012-08-11 16:00,16,531,330.52559374188655,-200.47440625811345
14005,2012-08-11 17:00,17,512,281.35747930703241,-230.64252069296759
14006,2012-08-11 18:00,18,300,260.22235101571459,-39.777648984285406
14007,2012-08-11 19:00,19,275,225.09397721319542,-49.906022786804584
14008,2012-08-11 20:00,20,160,234.08630185400165,74.086301854001647
14009,2012-08-11 21:00,21,128,239.34719007636016,111.34719007636016
14010,2012-08-11 22:00,22,168,246.27738780208699,78.277387802086992
14011,2012-08-11 23:00,23,163,273.80833969121483,110.80833969121483
14012,2012-08-12 00:00,0,120,117.23596249549593,-2.7640375045040741
14013,2012-08-12 01:00,1,113,108.4571100855195,-4.5428899144804973
14014,2012-08-12 02:00,2,86,138.58754127909543,52.587541279095433
14015,2012-08-12 03:00,3,48,131.38736513258289,83.387365132582886
14016,2012-08-12 04:00,4,10,152.15381716097653,142.15381716097653
14017,2012-08-12 05:00,5,10,174.7533185322786,164.7533185322786
14018,2012-08-12 06:00,6,16,173.99625321281127,157.99625321281127
14019,2012-08-12 07:00,7,39,180.72971323987545,141.72971323987545
14020,2012-08-12 08:00,8,119,215.19529120989796,96.19529120989796
14021,2012-08-12 09:00,9,217,246.05240587488549,29.052405874885494
14022,2012-08-12 10:00,10,328,246.97139868979195,-81.028601310208046
14023,2012-08-12 11:00,11,449,283.44690085388885,-165.55309914611115
14024,2012-08-12 12:00,12,505,290.57317829266412,-214.42682170733588
14025,2012-08-12 13:00,13,543,312.66261753384856,-230.33738246615144
14026,2012-08-12 14:00,14,579,314.52423638071167,-264.47576361928833
14027,2012-08-12 15:00,15,577,321.06161669472749,-255.93838330527251
14028,2012-08-12 16:00,16,513,327.79573470740593,-185.20426529259407
14029,2012-08-12 17:00,17,505,359.83805023853211,-145.16194976146789
14030,2012-08-12 18:00,18,491,357.36518029456295,-133.63481970543705
14031,2012-08-12 19:00,19,465,342.43733662711395,-122.56266337288605
14032,2012-08-12 20:00,20,300,332.77480953719123,32.774809537191231
14033,2012-08-12 21:00,21,220,329.05778737507308,109.05778737507308
14034,2012-08-12 22:00,22,181,316.82746286859629,135.82746286859629
14035,2012-08-12 23:00,23,110,310.91052744474655,200.91052744474655
14036,2012-08-13 00:00,0,47,140.74703909504501,93.747039095045011
14037,2012-08-13 01:00,1,14,147.57919696424767,133.57919696424767
14038,2012-08-13 02:00,2,9,140.77118024383191,131.77118024383191
14039,2012-08-13 03:00,3,6,147.01378300266089,141.01378300266089
14040,2012-08-13 04:00,4,11,154.63157569528562,143.63157569528562
14041,2012-08-13 05:00,5,36,161.56177342101245,125.56177342101245
14042,2012-08-13 06:00,6,159,154.55767698754829,-4.442323012451709
14043,2012-08-13 07:00,7,436,189.45450288818134,-246.54549711181866
14044,2012-08-13 08:00,8,673,241.3449356184089,-431.6550643815911
14045,2012-08-13 09:00,9,305,265.26742420250179,-39.732575797498214
14046,2012-08-13 10:00,10,199,287.90667206393186,88.906672063931865
14047,2012-08-13 11:00,11,245,295.42642490003243,50.42642490003243
14048,2012-08-13 12:00,12,276,309.38863057756384,33.388630577563845
14049,2012-08-13 13:00,13,254,316.12274859024228,62.122748590242281
14050,2012-08-13 14:00,14,248,342.11477070603428,94.114770706034278
14051,2012-08-13 15:00,15,274,354.30287839266771,80.302878392667708
14052,2012-08-13 16:00,16,464,350.25873880185441,-113.74126119814559
14053,2012-08-13 17:00,17,818,357.67979379581652,-460.32020620418348
14054,2012-08-13 18:00,18,812,322.7407510753402,-489.2592489246598
14055,2012-08-13 19:00,19,555,311.30346800890527,-243.69653199109473
14056,2012-08-13 20:00,20,432,311.13529981419737,-120.86470018580263
14057,2012-08-13 21:00,21,290,304.03250553859476,14.032505538594762
14058,2012-08-13 22:00,22,192,319.33821926202791,127.33821926202791
14059,2012-08-13 23:00,23,128,304.25338438604433,176.25338438604433
14060,2012-08-14 00:00,0,60,137.36765336218099,77.367653362180988
14061,2012-08-14 01:00,1,27,128.78488066525298,101.78488066525298
14062,2012-08-14 02:00,2,11,127.83107764712301,116.83107764712301
14063,2012-08-14 03:00,3,3,134.76127537284987,131.76127537284987
14064,2012-08-14 04:00,4,5,141.69147309857669,136.69147309857669
14065,2012-08-14 05:00,5,36,137.38489582608483,101.38489582608483
14066,2012-08-14 06:00,6,64,142.86172660898839,78.861726608988391
14067,2012-08-14 07:00,7,179,155.45005832395265,-23.549941676047354
14068,2012-08-14 08:00,8,618,151.14348105146078,-466.85651894853925
14069,2012-08-14 09:00,9,402,198.26620310340269,-203.73379689659731
14070,2012-08-14 10:00,10,208,196.52001663084513,-11.479983369154866
14071,2012-08-14 11:00,11,196,247.2902904923358,51.290290492335799
14072,2012-08-14 12:00,12,300,292.14065066852481,-7.8593493314751868
14073,2012-08-14 13:00,13,286,310.74018729430941,24.740187294309408
14074,2012-08-14 14:00,14,255,334.26310983568573,79.263109835685725
14075,2012-08-14 15:00,15,283,331.82932839623027,48.829328396230267
14076,2012-08-14 16:00,16,458,344.37791362106651,-113.62208637893349
14077,2012-08-14 17:00,17,812,289.39467398844039,-522.60532601155955
14078,2012-08-14 18:00,18,854,304.01279274497568,-549.98720725502426
14079,2012-08-14 19:00,19,627,302.86225202818309,-324.13774797181691
14080,2012-08-14 20:00,20,436,288.66174981775998,-147.33825018224002
14081,2012-08-14 21:00,21,308,318.06549753992419,10.065497539924195
14082,2012-08-14 22:00,22,189,310.27576628303802,121.27576628303802
14083,2012-08-14 23:00,23,167,317.69682127700003,150.69682127700003
14084,2012-08-15 00:00,0,60,161.51726149299222,101.51726149299222
14085,2012-08-15 01:00,1,37,167.17096712706174,130.17096712706174
14086,2012-08-15 02:00,2,8,160.26491055012184,152.26491055012184
14087,2012-08-15 03:00,3,11,144.6824697748975,133.6824697748975
14088,2012-08-15 04:00,4,4,128.41243403277528,124.41243403277528
14089,2012-08-15 05:00,5,39,144.70661092368437,105.70661092368437
14090,2012-08-15 06:00,6,172,151.63680864941122,-20.363191350588778
14091,2012-08-15 07:00,7,492,182.35613696774658,-309.64386303225342
14092,2012-08-15 08:00,8,682,210.05721507703487,-471.94278492296513
14093,2012-08-15 09:00,9,367,228.3613161620184,-138.6386838379816
14094,2012-08-15 10:00,10,233,235.29151388774525,2.2915138877452534
14095,2012-08-15 11:00,11,235,256.05796591613893,21.057965916138926
14096,2012-08-15 12:00,12,307,268.80328883963773,-38.19671116036227
14097,2012-08-15 13:00,13,294,299.46366580596265,5.4636658059626484
14098,2012-08-15 14:00,14,255,295.118000028957,40.118000028956999
14099,2012-08-15 15:00,15,266,301.75342019949699,35.753420199496986
14100,2012-08-15 16:00,16,431,315.78198384565866,-115.21801615434134
14101,2012-08-15 17:00,17,851,303.84709487998305,-547.15290512001695
14102,2012-08-15 18:00,18,848,317.87565852614466,-530.12434147385534
14103,2012-08-15 19:00,19,649,292.79820087009131,-356.20179912990869
14104,2012-08-15 20:00,20,427,299.72839859581813,-127.27160140418187
14105,2012-08-15 21:00,21,315,307.05141373325603,-7.9485862667439733
14106,2012-08-15 22:00,22,226,313.78553174593446,87.785531745934463
14107,2012-08-15 23:00,23,138,306.48665775728352,168.48665775728352
14108,2012-08-16 00:00,0,76,132.56826079600134,56.56826079600134
14109,2012-08-16 01:00,1,21,125.66220421906138,104.66220421906138
14110,2012-08-16 02:00,2,15,141.36007736859133,126.36007736859133
14111,2012-08-16 03:00,3,4,134.84683820336241,130.84683820336241
14112,2012-08-16 04:00,4,5,141.58095621604087,136.58095621604087
14113,2012-08-16 05:00,5,37,132.40928639435342,95.409286394353416
14114,2012-08-16 06:00,6,165,139.33948412008027,-25.660515879919728
14115,2012-08-16 07:00,7,464,176.20780369588823,-287.79219630411177
14116,2012-08-16 08:00,8,682,210.61377232828605,-471.38622767171398
14117,2012-08-16 09:00,9,337,242.75478570155059,-94.245214298449412
14118,2012-08-16 10:00,10,199,267.46290910906555,68.462909109065549
14119,2012-08-16 11:00,11,274,301.04481239914173,27.044812399141733
14120,2012-08-16 12:00,12,343,328.25437525458062,-14.745624745419377
14121,2012-08-16 13:00,13,300,339.71579946980239,39.715799469802391
14122,2012-08-16 14:00,14,248,349.64504254269383,101.64504254269383
14123,2012-08-16 15:00,15,260,350.02668296823163,90.026682968231626
14124,2012-08-16 16:00,16,419,364.97866778446746,-54.021332215532539
14125,2012-08-16 17:00,17,897,367.9665361454588,-529.0334638545412
14126,2012-08-16 18:00,18,832,363.52957914293449,-468.47042085706551
14127,2012-08-16 19:00,19,677,350.96604656237139,-326.03395343762861
14128,2012-08-16 20:00,20,514,357.79820443157399,-156.20179556842601
14129,2012-08-16 21:00,21,356,344.08790150377189,-11.912098496228111
14130,2012-08-16 22:00,22,254,338.85856104682,84.85856104682
14131,2012-08-16 23:00,23,226,333.43248289120544,107.43248289120544
14132,2012-08-17 00:00,0,88,162.46729414156869,74.467294141568686
14133,2012-08-17 01:00,1,54,147.67723682077187,93.677236820771867
14134,2012-08-17 02:00,2,19,162.29469759169291,143.29469759169291
14135,2012-08-17 03:00,3,6,155.19256130170456,149.19256130170456
14136,2012-08-17 04:00,4,9,147.53320977485083,138.53320977485083
14137,2012-08-17 05:00,5,36,154.07059008886665,118.07059008886665
14138,2012-08-17 06:00,6,157,145.48781739193862,-11.51218260806138
14139,2012-08-17 07:00,7,379,167.93098554032034,-211.06901445967966
14140,2012-08-17 08:00,8,668,202.72977158442919,-465.27022841557084
14141,2012-08-17 09:00,9,378,228.91853139888377,-149.08146860111623
14142,2012-08-17 10:00,10,231,254.55007597647301,23.550075976473011
14143,2012-08-17 11:00,11,303,274.22936699525229,-28.770633004747708
14144,2012-08-17 12:00,12,365,320.40271438423201,-44.597285615767987
14145,2012-08-17 13:00,13,357,344.12237462427106,-12.87762537572894
14146,2012-08-17 14:00,14,328,361.33931469964017,33.33931469964017
14147,2012-08-17 15:00,15,383,376.05547331269969,-6.9445266873003106
14148,2012-08-17 16:00,16,488,372.7969685453084,-115.2030314546916
14149,2012-08-17 17:00,17,791,365.1052771449464,-425.8947228550536
14150,2012-08-17 18:00,18,669,367.79836795075084,-301.20163204924916
14151,2012-08-17 19:00,19,491,318.39508529833461,-172.60491470166539
14152,2012-08-17 20:00,20,359,312.2814121758222,-46.718587824177803
14153,2012-08-17 21:00,21,255,286.41157106534138,31.411571065341377
14154,2012-08-17 22:00,22,213,260.08996119113897,47.089961191138968
14155,2012-08-17 23:00,23,121,260.8718256450075,139.8718256450075
14156,2012-08-18 00:00,0,105,99.097559275505077,-5.9024407244949231
14157,2012-08-18 01:00,1,92,78.689114455598926,-13.310885544401074
14158,2012-08-18 02:00,2,43,96.856087179544488,53.856087179544488
14159,2012-08-18 03:00,3,30,103.98236461831972,73.982364618319721
14160,2012-08-18 04:00,4,13,139.20123753825598,126.20123753825598
14161,2012-08-18 05:00,5,9,130.61846484132795,121.61846484132795
14162,2012-08-18 06:00,6,27,127.98860368882416,100.98860368882416
14163,2012-08-18 07:00,7,64,134.91880141455101,70.918801414551012
14164,2012-08-18 08:00,8,189,180.95436245687858,-8.0456375431214155
14165,2012-08-18 09:00,9,292,201.91755218393487,-90.082447816065127
14166,2012-08-18 10:00,10,480,241.35301119068259,-238.64698880931741
14167,2012-08-18 11:00,11,536,259.16625500743089,-276.83374499256911
14168,2012-08-18 12:00,12,654,306.28222842836738,-347.71777157163262
14169,2012-08-18 13:00,13,644,301.24896768446388,-342.75103231553612
14170,2012-08-18 14:00,14,598,320.73217899019471,-277.26782100980529
14171,2012-08-18 15:00,15,596,327.26955930421053,-268.73044069578947
14172,2012-08-18 16:00,16,641,334.39583674298581,-306.60416325701419
14173,2012-08-18 17:00,17,635,341.12995475566424,-293.87004524433576
14174,2012-08-18 18:00,18,554,341.32226409915904,-212.67773590084096
14175,2012-08-18 19:00,19,488,320.57995321955229,-167.42004678044771
14176,2012-08-18 20:00,20,341,327.11733353356806,-13.882666466431942
14177,2012-08-18 21:00,21,338,290.70506102277193,-47.294938977228071
14178,2012-08-18 22:00,22,261,297.63525874849876,36.635258748498757
14179,2012-08-18 23:00,23,235,291.31875728193245,56.318757281932449
14180,2012-08-19 00:00,0,187,153.25164722502757,-33.748352774972432
14181,2012-08-19 01:00,1,131,138.2648522055681,7.2648522055681042
14182,2012-08-19 02:00,2,119,131.94835073900185,12.948350739001853
14183,2012-08-19 03:00,3,55,154.35177239725553,99.35177239725553
14184,2012-08-19 04:00,4,26,153.79078679083656,127.79078679083656
14185,2012-08-19 05:00,5,11,139.19680918308816,128.19680918308816
14186,2012-08-19 06:00,6,20,159.76718149843344,139.76718149843344
14187,2012-08-19 07:00,7,41,166.89345893720866,125.89345893720866
14188,2012-08-19 08:00,8,124,179.97264792040812,55.972647920408122
14189,2012-08-19 09:00,9,270,183.19634248457584,-86.803657515424163
14190,2012-08-19 10:00,10,425,205.83559034600594,-219.16440965399406
14191,2012-08-19 11:00,11,272,184.30089601197162,-87.699103988028384
14192,2012-08-19 12:00,12,298,199.51466052427185,-98.485339475728154
14193,2012-08-19 13:00,13,162,188.60057459958043,26.600574599580426
14194,2012-08-19 14:00,14,149,213.37505597572553,64.37505597572553
14195,2012-08-19 15:00,15,276,235.28762036574398,-40.712379634256024
14196,2012-08-19 16:00,16,356,248.56288906199183,-107.43711093800817
14197,2012-08-19 17:00,17,343,225.48926495462166,-117.51073504537834
14198,2012-08-19 18:00,18,377,232.41946268034854,-144.58053731965146
14199,2012-08-19 19:00,19,341,248.90971928430605,-92.09028071569395
14200,2012-08-19 20:00,20,274,256.23273442174388,-17.767265578256115
14201,2012-08-19 21:00,21,190,246.7669450304839,56.766945030483896
14202,2012-08-19 22:00,22,56,254.18800002444596,198.18800002444596
14203,2012-08-19 23:00,23,46,269.40176453674621,223.40176453674621
14204,2012-08-20 00:00,0,26,88.001501188825898,62.001501188825898
14205,2012-08-20 01:00,1,10,95.324516326263776,85.324516326263776
14206,2012-08-20 02:00,2,5,102.25471405199063,97.254714051990632
14207,2012-08-20 03:00,3,3,99.428115200824166,96.428115200824166
14208,2012-08-20 04:00,4,7,115.62425223520907,108.62425223520907
14209,2012-08-20 05:00,5,37,121.96489485056225,84.964894850562246
14210,2012-08-20 06:00,6,161,139.14274642141763,-21.857253578582373
14211,2012-08-20 07:00,7,442,152.41801511766548,-289.5819848823345
14212,2012-08-20 08:00,8,655,168.5161122955262,-486.48388770447377
14213,2012-08-20 09:00,9,357,188.59496935702197,-168.40503064297803
14214,2012-08-20 10:00,10,193,196.1147221931225,3.1147221931225033
14215,2012-08-20 11:00,11,241,216.97921407804034,-24.020785921959657
14216,2012-08-20 12:00,12,282,231.40059513591302,-50.599404864086978
14217,2012-08-20 13:00,13,291,256.83540201483959,-34.164597985160412
14218,2012-08-20 14:00,14,275,277.79859174189585,2.7985917418958479
14219,2012-08-20 15:00,15,309,285.31768659238213,-23.682313407617869
14220,2012-08-20 16:00,16,460,292.24788431810896,-167.75211568189104
14221,2012-08-20 17:00,17,893,285.5385654398317,-607.4614345601683
14222,2012-08-20 18:00,18,815,229.43582492408288,-585.56417507591709
14223,2012-08-20 19:00,19,299,235.9732052380987,-63.0267947619013
14224,2012-08-20 20:00,20,261,234.12897890901695,-26.871021090983049
14225,2012-08-20 21:00,21,245,232.84805846219183,-12.15194153780817
14226,2012-08-20 22:00,22,161,239.77825618791869,78.778256187918686
14227,2012-08-20 23:00,23,102,246.70845391364554,144.70845391364554
14228,2012-08-21 00:00,0,59,87.903461332301703,28.903461332301703
14229,2012-08-21 01:00,1,33,95.127778627601131,62.127778627601131
14230,2012-08-21 02:00,2,8,87.331298739709439,79.331298739709439
14231,2012-08-21 03:00,3,3,86.050378292884318,83.050378292884318
14232,2012-08-21 04:00,4,4,92.980576018611174,88.980576018611174
14233,2012-08-21 05:00,5,34,109.86430801989397,75.864308019893969
14234,2012-08-21 06:00,6,169,116.89254560214502,-52.10745439785498
14235,2012-08-21 07:00,7,519,145.87686443409609,-373.12313556590391
14236,2012-08-21 08:00,8,723,153.00314187287131,-569.99685812712869
14237,2012-08-21 09:00,9,328,188.59496935702197,-139.40503064297803
14238,2012-08-21 10:00,10,178,217.54019968445931,39.54019968445931
14239,2012-08-21 11:00,11,256,249.5825152155854,-6.4174847844145972
14240,2012-08-21 12:00,12,305,279.7129464091613,-25.287053590838696
14241,2012-08-21 13:00,13,331,302.35219427059144,-28.64780572940856
14242,2012-08-21 14:00,14,302,321.83540557632227,19.835405576322273
14243,2012-08-21 15:00,15,302,328.17604819167548,26.176048191675477
14244,2012-08-21 16:00,16,467,335.1062459174023,-131.8937540825977
14245,2012-08-21 17:00,17,878,311.33827821212878,-566.66172178787122
14246,2012-08-21 18:00,18,625,305.91220005651428,-319.08779994348572
14247,2012-08-21 19:00,19,476,244.74828727852156,-231.25171272147844
14248,2012-08-21 20:00,20,358,257.3359610078715,-100.6640389921285
14249,2012-08-21 21:00,21,280,264.26615873359833,-15.733841266401669
14250,2012-08-21 22:00,22,232,261.83237729414293,29.83237729414293
14251,2012-08-21 23:00,23,136,253.05352488416656,117.05352488416656
14252,2012-08-22 00:00,0,55,94.346572159346891,39.346572159346891
14253,2012-08-22 01:00,1,21,109.95315408335811,88.953154083358115
14254,2012-08-22 02:00,2,17,116.88335180908496,99.883351809084957
14255,2012-08-22 03:00,3,7,123.81354953481181,116.81354953481181
14256,2012-08-22 04:00,4,8,109.37722112121229,101.37722112121229
14257,2012-08-22 05:00,5,40,131.3288740157445,91.328874015744503
14258,2012-08-22 06:00,6,187,153.96812187717461,-33.03187812282539
14259,2012-08-22 07:00,7,553,151.53434043771921,-401.46565956228079
14260,2012-08-22 08:00,8,740,174.763143409523,-565.23685659047703
14261,2012-08-22 09:00,9,376,208.77629463020978,-167.22370536979022
14262,2012-08-22 10:00,10,225,230.13230176897707,5.1323017689770722
14263,2012-08-22 11:00,11,267,249.02595796433428,-17.974042035665718
14264,2012-08-22 12:00,12,312,274.82124238146366,-37.178757618536338
14265,2012-08-22 13:00,13,316,294.40249354371872,-21.59750645628128
14266,2012-08-22 14:00,14,266,306.95107876855491,40.951078768554908
14267,2012-08-22 15:00,15,316,308.45896870822077,-7.5410312917792339
14268,2012-08-22 16:00,16,460,296.52407974254515,-163.47592025745485
14269,2012-08-22 17:00,17,783,303.45427746827198,-479.54572253172802
14270,2012-08-22 18:00,18,683,273.76741631369617,-409.23258368630383
14271,2012-08-22 19:00,19,580,254.87803841962921,-325.12196158037079
14272,2012-08-22 20:00,20,391,258.61245309952881,-132.38754690047119
14273,2012-08-22 21:00,21,351,264.26615873359833,-86.733841266401669
14274,2012-08-22 22:00,22,281,271.19635645932522,-9.8036435406747842
14275,2012-08-22 23:00,23,140,259.39859585468753,119.39859585468753
14276,2012-08-23 00:00,0,60,109.36802732815227,49.368027328152266
14277,2012-08-23 01:00,1,25,100.58917491817587,75.589174918175871
14278,2012-08-23 02:00,2,20,107.51937264390273,87.519372643902727
14279,2012-08-23 03:00,3,9,115.03912548000324,106.03912548000324
14280,2012-08-23 04:00,4,6,121.37976809535641,115.37976809535641
14281,2012-08-23 05:00,5,37,128.30996582108327,91.309965821083267
14282,2012-08-23 06:00,6,192,120.12066852148052,-71.879331478519475
14283,2012-08-23 07:00,7,481,142.75991638291063,-338.24008361708934
14284,2012-08-23 08:00,8,707,179.23541854700755,-527.76458145299239
14285,2012-08-23 09:00,9,412,205.75738643554848,-206.24261356445152
14286,2012-08-23 10:00,10,233,248.44083120912845,15.440831209128447
14287,2012-08-23 11:00,11,278,280.44405823574084,2.4440582357408402
14288,2012-08-23 12:00,12,332,311.85773015197947,-20.142269848020533
14289,2012-08-23 13:00,13,346,332.06762492912196,-13.932375070878038
14290,2012-08-23 14:00,14,305,312.20898872946145,7.2089887294614527
14291,2012-08-23 15:00,15,305,318.54963134481466,13.549631344814657
14292,2012-08-23 16:00,16,465,315.58590413261027,-149.41409586738973
14293,2012-08-23 17:00,17,820,328.52730676915746,-491.47269323084254
14294,2012-08-23 18:00,18,941,323.49404602525397,-617.50595397474603
14295,2012-08-23 19:00,19,633,317.57711060140423,-315.42288939859577
14296,2012-08-23 20:00,20,474,299.5323188827698,-174.4676811172302
14297,2012-08-23 21:00,21,329,306.65859632154502,-22.341403678454981
14298,2012-08-23 22:00,22,198,307.04764336370249,109.04764336370249
14299,2012-08-23 23:00,23,157,291.96280848771886,134.96280848771886
14300,2012-08-24 00:00,0,111,132.56826079600134,21.56826079600134
14301,2012-08-24 01:00,1,42,125.66220421906138,83.66220421906138
14302,2012-08-24 02:00,2,16,146.42865624745505,130.42865624745505
14303,2012-08-24 03:00,3,8,139.52259967051506,131.52259967051506
14304,2012-08-24 04:00,4,8,146.45279739624192,138.45279739624192
14305,2012-08-24 05:00,5,38,144.01901595678649,106.01901595678649
14306,2012-08-24 06:00,6,151,135.24016354681009,-15.759836453189905
14307,2012-08-24 07:00,7,425,157.8794114082402,-267.12058859175977
