course_row_id,source_row_number,city,aoi_type,accept_time,delivery_time,ds,delivery_duration_minutes
lade-jilin-00029,29,Jilin,1,08-24 08:32:00,08-24 14:54:00,0824,382
lade-jilin-00030,30,Jilin,1,05-29 14:19:00,05-29 15:16:00,0529,57
lade-jilin-00031,31,Jilin,1,05-31 09:45:00,05-31 11:04:00,0531,79
lade-jilin-00032,32,Jilin,1,08-28 09:41:00,08-28 15:11:00,0828,330
lade-jilin-00033,33,Jilin,1,07-25 14:43:00,07-25 15:07:00,0725,24
lade-jilin-00034,34,Jilin,1,09-02 15:40:00,09-02 15:41:00,0902,1
lade-jilin-00035,35,Jilin,1,07-25 07:53:00,07-25 10:04:00,0725,131
lade-jilin-00036,36,Jilin,1,07-09 08:08:00,07-09 10:19:00,0709,131
lade-jilin-00037,37,Jilin,1,07-24 08:04:00,07-24 13:17:00,0724,313
lade-jilin-00038,38,Jilin,1,06-04 18:22:00,06-04 19:08:00,0604,46
lade-jilin-00039,39,Jilin,1,05-20 17:45:00,05-20 17:54:00,0520,9
lade-jilin-00040,40,Jilin,1,07-20 07:52:00,07-20 12:03:00,0720,251
lade-jilin-00041,41,Jilin,1,05-18 08:38:00,05-18 13:28:00,0518,290
lade-jilin-00042,42,Jilin,1,05-27 08:14:00,05-27 14:06:00,0527,352
lade-jilin-00043,43,Jilin,1,07-14 08:32:00,07-14 09:54:00,0714,82
lade-jilin-00044,44,Jilin,1,08-26 08:47:00,08-26 12:34:00,0826,227
lade-jilin-00045,45,Jilin,1,07-25 08:18:00,07-25 10:19:00,0725,121
lade-jilin-00046,46,Jilin,1,09-30 08:16:00,09-30 11:53:00,0930,217
lade-jilin-00047,47,Jilin,1,07-06 07:55:00,07-06 12:07:00,0706,252
lade-jilin-00048,48,Jilin,1,07-02 08:06:00,07-02 10:13:00,0702,127
lade-jilin-00049,49,Jilin,1,06-19 15:03:00,06-19 16:01:00,0619,58
lade-jilin-00050,50,Jilin,1,09-19 07:48:00,09-19 12:45:00,0919,297
lade-jilin-00051,51,Jilin,1,09-02 07:40:00,09-02 11:18:00,0902,218
lade-jilin-00052,52,Jilin,1,07-21 07:50:00,07-21 13:26:00,0721,336
lade-jilin-00053,53,Jilin,1,07-05 08:52:00,07-05 12:38:00,0705,226
lade-jilin-00054,54,Jilin,1,05-20 07:53:00,05-20 10:00:00,0520,127
lade-jilin-00055,55,Jilin,1,05-30 08:43:00,05-30 10:43:00,0530,120
lade-jilin-00056,56,Jilin,1,07-19 07:48:00,07-19 12:30:00,0719,282
lade-jilin-00057,57,Jilin,1,06-29 09:23:00,06-29 10:38:00,0629,75
lade-jilin-00058,58,Jilin,1,05-29 14:19:00,05-29 15:07:00,0529,48
lade-jilin-00059,59,Jilin,1,07-03 07:45:00,07-03 09:09:00,0703,84
lade-jilin-00060,60,Jilin,1,06-07 07:53:00,06-07 09:47:00,0607,114
lade-jilin-00061,61,Jilin,1,09-02 07:44:00,09-02 11:40:00,0902,236
lade-jilin-00062,62,Jilin,1,09-06 08:00:00,09-06 16:25:00,0906,505
lade-jilin-00063,63,Jilin,1,07-10 07:51:00,07-10 11:07:00,0710,196
lade-jilin-00064,64,Jilin,1,07-08 08:15:00,07-08 11:28:00,0708,193
lade-jilin-00065,65,Jilin,1,07-18 08:05:00,07-18 11:05:00,0718,180
lade-jilin-00066,66,Jilin,1,09-01 08:53:00,09-01 16:06:00,0901,433
lade-jilin-00067,67,Jilin,1,08-30 09:19:00,08-30 15:04:00,0830,345
lade-jilin-00068,68,Jilin,1,09-21 09:00:00,09-21 12:56:00,0921,236
lade-jilin-00069,69,Jilin,1,05-29 08:15:00,05-29 09:36:00,0529,81
lade-jilin-00070,70,Jilin,1,08-29 08:40:00,08-29 13:45:00,0829,305
lade-jilin-00071,71,Jilin,1,08-28 09:41:00,08-28 17:11:00,0828,450
lade-jilin-00072,72,Jilin,1,09-09 09:15:00,09-09 11:58:00,0909,163
lade-jilin-00073,73,Jilin,1,05-17 08:00:00,05-17 13:04:00,0517,304
lade-jilin-00074,74,Jilin,1,08-07 08:10:00,08-07 11:29:00,0807,199
lade-jilin-00075,75,Jilin,1,08-01 08:11:00,08-01 08:57:00,0801,46
lade-jilin-00076,76,Jilin,1,07-02 08:10:00,07-02 10:03:00,0702,113
lade-jilin-00077,77,Jilin,1,09-07 08:55:00,09-07 15:16:00,0907,381
lade-jilin-00078,78,Jilin,1,09-25 12:30:00,09-25 16:58:00,0925,268
lade-jilin-00079,79,Jilin,1,09-28 08:21:00,09-28 11:51:00,0928,210
lade-jilin-00080,80,Jilin,1,08-19 08:02:00,08-19 13:17:00,0819,315
lade-jilin-00081,81,Jilin,1,10-05 08:01:00,10-05 13:55:00,1005,354
lade-jilin-00082,82,Jilin,1,10-10 09:14:00,10-10 14:36:00,1010,322
lade-jilin-00083,83,Jilin,1,06-17 12:34:00,06-17 13:06:00,0617,32
lade-jilin-00084,84,Jilin,1,06-18 12:18:00,06-18 13:03:00,0618,45
lade-jilin-00085,85,Jilin,1,06-17 12:34:00,06-17 13:12:00,0617,38
lade-jilin-00086,86,Jilin,1,06-17 08:25:00,06-17 09:05:00,0617,40
lade-jilin-00087,87,Jilin,1,06-18 12:24:00,06-18 12:49:00,0618,25
lade-jilin-00088,88,Jilin,14,09-10 08:04:00,09-10 10:00:00,0910,116
lade-jilin-00089,89,Jilin,14,07-07 07:53:00,07-07 09:50:00,0707,117
lade-jilin-00090,90,Jilin,14,08-28 08:53:00,08-28 10:38:00,0828,105
lade-jilin-00091,91,Jilin,14,10-02 09:59:00,10-02 10:10:00,1002,11
lade-jilin-00092,92,Jilin,14,09-30 08:10:00,09-30 11:44:00,0930,214
lade-jilin-00093,93,Jilin,14,08-29 08:34:00,08-29 11:56:00,0829,202
lade-jilin-00094,94,Jilin,14,05-30 14:52:00,05-30 16:27:00,0530,95
lade-jilin-00095,95,Jilin,14,09-02 07:48:00,09-02 09:51:00,0902,123
lade-jilin-00096,96,Jilin,14,08-26 08:55:00,08-26 10:48:00,0826,113
lade-jilin-00097,97,Jilin,14,09-11 08:47:00,09-11 12:21:00,0911,214
lade-jilin-00098,98,Jilin,14,09-22 07:57:00,09-22 09:54:00,0922,117
lade-jilin-00099,99,Jilin,14,09-06 08:21:00,09-06 11:15:00,0906,174
lade-jilin-00100,100,Jilin,14,09-01 09:03:00,09-01 10:46:00,0901,103
lade-jilin-00101,101,Jilin,14,08-18 07:39:00,08-18 09:46:00,0818,127
lade-jilin-00102,102,Jilin,14,05-18 08:55:00,05-18 11:43:00,0518,168
lade-jilin-00103,103,Jilin,14,06-19 13:50:00,06-19 15:12:00,0619,82
lade-jilin-00104,104,Jilin,14,08-18 07:39:00,08-18 09:51:00,0818,132
lade-jilin-00105,105,Jilin,14,06-15 07:45:00,06-15 09:45:00,0615,120
lade-jilin-00106,106,Jilin,14,09-20 08:36:00,09-20 10:25:00,0920,109
lade-jilin-00107,107,Jilin,14,09-20 08:35:00,09-20 10:56:00,0920,141
lade-jilin-00108,108,Jilin,14,08-01 10:13:00,08-01 12:45:00,0801,152
lade-jilin-00109,109,Jilin,14,09-26 07:35:00,09-26 10:42:00,0926,187
lade-jilin-00110,110,Jilin,14,07-25 07:44:00,07-25 09:51:00,0725,127
lade-jilin-00111,111,Jilin,14,09-22 09:41:00,09-22 09:45:00,0922,4
lade-jilin-00112,112,Jilin,14,10-06 07:53:00,10-06 15:36:00,1006,463
lade-jilin-00113,113,Jilin,1,09-03 09:21:00,09-03 10:06:00,0903,45
lade-jilin-00114,114,Jilin,1,09-09 07:57:00,09-09 08:52:00,0909,55
lade-jilin-00115,115,Jilin,1,09-07 09:03:00,09-07 09:55:00,0907,52
lade-jilin-00116,116,Jilin,1,09-10 08:02:00,09-10 17:25:00,0910,563
lade-jilin-00117,117,Jilin,10,08-23 07:41:00,08-23 09:50:00,0823,129
lade-jilin-00118,118,Jilin,10,08-18 07:39:00,08-18 10:06:00,0818,147
lade-jilin-00119,119,Jilin,10,06-07 08:21:00,06-07 10:34:00,0607,133
lade-jilin-00120,120,Jilin,10,08-31 09:07:00,08-31 12:14:00,0831,187
lade-jilin-00121,121,Jilin,10,06-15 07:45:00,06-15 09:56:00,0615,131
lade-jilin-00122,122,Jilin,0,09-27 08:13:00,09-27 11:29:00,0927,196
lade-jilin-00123,123,Jilin,0,10-01 07:36:00,10-01 11:22:00,1001,226
lade-jilin-00124,124,Jilin,0,05-25 14:02:00,05-25 17:00:00,0525,178
lade-jilin-00125,125,Jilin,0,09-28 08:31:00,09-28 12:07:00,0928,216
lade-jilin-00126,126,Jilin,14,08-22 07:51:00,08-22 11:37:00,0822,226
lade-jilin-00127,127,Jilin,14,09-28 08:30:00,09-28 15:39:00,0928,429
lade-jilin-00128,128,Jilin,14,05-18 08:39:00,05-18 16:21:00,0518,462
lade-jilin-00129,129,Jilin,14,10-01 07:48:00,10-01 11:47:00,1001,239
lade-jilin-00130,130,Jilin,14,06-28 08:48:00,06-28 10:20:00,0628,92
lade-jilin-00131,131,Jilin,14,08-26 08:44:00,08-26 13:45:00,0826,301
lade-jilin-00132,132,Jilin,14,09-01 08:59:00,09-01 13:45:00,0901,286
lade-jilin-00133,133,Jilin,14,07-08 08:12:00,07-08 12:53:00,0708,281
lade-jilin-00134,134,Jilin,14,07-22 07:36:00,07-22 12:29:00,0722,293
lade-jilin-00135,135,Jilin,14,06-25 12:34:00,06-25 15:47:00,0625,193
lade-jilin-00136,136,Jilin,14,08-13 07:50:00,08-13 12:56:00,0813,306
lade-jilin-00137,137,Jilin,14,08-19 07:57:00,08-19 12:38:00,0819,281
lade-jilin-00138,138,Jilin,14,09-05 08:29:00,09-05 11:32:00,0905,183
lade-jilin-00139,139,Jilin,14,07-01 07:59:00,07-01 11:02:00,0701,183
lade-jilin-00140,140,Jilin,14,06-27 09:48:00,06-27 11:48:00,0627,120
lade-jilin-00141,141,Jilin,14,05-20 07:56:00,05-20 13:32:00,0520,336
lade-jilin-00142,142,Jilin,14,08-04 08:30:00,08-04 11:48:00,0804,198
lade-jilin-00143,143,Jilin,14,08-15 07:59:00,08-15 12:52:00,0815,293
lade-jilin-00144,144,Jilin,14,07-17 08:01:00,07-17 10:34:00,0717,153
lade-jilin-00145,145,Jilin,14,09-08 08:41:00,09-08 12:43:00,0908,242
lade-jilin-00146,146,Jilin,14,08-06 07:52:00,08-06 12:46:00,0806,294
lade-jilin-00147,147,Jilin,14,08-06 07:51:00,08-06 12:35:00,0806,284
lade-jilin-00148,148,Jilin,14,09-25 12:31:00,09-25 16:20:00,0925,229
lade-jilin-00149,149,Jilin,14,08-13 07:45:00,08-13 13:20:00,0813,335
lade-jilin-00150,150,Jilin,14,08-14 08:21:00,08-14 14:23:00,0814,362
lade-jilin-00151,151,Jilin,14,05-27 08:13:00,05-27 12:08:00,0527,235
lade-jilin-00152,152,Jilin,14,06-09 08:32:00,06-09 13:12:00,0609,280
lade-jilin-00153,153,Jilin,14,07-02 08:12:00,07-02 11:13:00,0702,181
lade-jilin-00154,154,Jilin,14,07-06 07:54:00,07-06 12:01:00,0706,247
lade-jilin-00155,155,Jilin,14,09-11 08:30:00,09-11 15:26:00,0911,416
lade-jilin-00156,156,Jilin,14,06-17 12:34:00,06-17 16:26:00,0617,232
lade-jilin-00157,157,Jilin,14,06-17 12:33:00,06-17 16:33:00,0617,240
lade-jilin-00158,158,Jilin,4,08-25 09:27:00,08-25 14:45:00,0825,318
lade-jilin-00159,159,Jilin,4,08-22 08:59:00,08-22 12:38:00,0822,219
lade-jilin-00160,160,Jilin,4,07-29 08:09:00,07-29 12:41:00,0729,272
lade-jilin-00161,161,Jilin,4,07-24 07:42:00,07-24 11:49:00,0724,247
lade-jilin-00162,162,Jilin,4,08-16 07:54:00,08-16 15:17:00,0816,443
lade-jilin-00163,163,Jilin,4,06-14 08:52:00,06-14 13:51:00,0614,299
lade-jilin-00164,164,Jilin,4,05-16 09:26:00,05-16 12:14:00,0516,168
lade-jilin-00165,165,Jilin,4,07-19 07:33:00,07-19 10:59:00,0719,206
lade-jilin-00166,166,Jilin,4,06-28 08:48:00,06-28 10:57:00,0628,129
lade-jilin-00167,167,Jilin,4,07-23 07:24:00,07-23 12:00:00,0723,276
lade-jilin-00168,168,Jilin,4,09-18 08:16:00,09-18 13:43:00,0918,327
lade-jilin-00169,169,Jilin,4,08-15 12:51:00,08-15 12:53:00,0815,2
lade-jilin-00170,170,Jilin,1,10-05 07:42:00,10-05 16:59:00,1005,557
lade-jilin-00171,171,Jilin,1,10-02 08:06:00,10-02 12:18:00,1002,252
lade-jilin-00172,172,Jilin,14,09-26 07:41:00,09-26 14:41:00,0926,420
lade-jilin-00173,173,Jilin,14,07-06 07:37:00,07-06 10:50:00,0706,193
lade-jilin-00174,174,Jilin,14,09-25 08:07:00,09-25 10:39:00,0925,152
lade-jilin-00175,175,Jilin,14,08-16 07:55:00,08-16 10:49:00,0816,174
lade-jilin-00176,176,Jilin,14,09-16 09:01:00,09-16 10:34:00,0916,93
lade-jilin-00177,177,Jilin,14,07-09 08:04:00,07-09 10:35:00,0709,151
lade-jilin-00178,178,Jilin,14,05-27 15:17:00,05-27 16:00:00,0527,43
lade-jilin-00179,179,Jilin,14,08-22 09:02:00,08-22 10:52:00,0822,110
lade-jilin-00180,180,Jilin,14,07-27 08:28:00,07-27 09:59:00,0727,91
lade-jilin-00181,181,Jilin,4,10-17 08:10:00,10-17 19:34:00,1017,684
lade-jilin-00182,182,Jilin,4,08-26 09:15:00,08-26 15:17:00,0826,362
lade-jilin-00183,183,Jilin,14,05-31 10:34:00,05-31 13:30:00,0531,176
lade-jilin-00184,184,Jilin,14,09-03 08:02:00,09-03 11:51:00,0903,229
lade-jilin-00185,185,Jilin,14,05-20 08:10:00,05-20 11:53:00,0520,223
lade-jilin-00186,186,Jilin,14,09-05 08:57:00,09-05 13:46:00,0905,289
lade-jilin-00187,187,Jilin,14,07-12 07:42:00,07-12 10:20:00,0712,158
lade-jilin-00188,188,Jilin,14,05-20 08:10:00,05-20 12:01:00,0520,231
lade-jilin-00189,189,Jilin,14,07-31 14:14:00,07-31 14:21:00,0731,7
lade-jilin-00190,190,Jilin,14,09-07 09:01:00,09-07 10:13:00,0907,72
lade-jilin-00191,191,Jilin,14,09-03 09:21:00,09-03 10:01:00,0903,40
lade-jilin-00192,192,Jilin,14,09-04 10:48:00,09-04 11:31:00,0904,43
lade-jilin-00193,193,Jilin,14,09-14 07:56:00,09-14 14:24:00,0914,388
lade-jilin-00194,194,Jilin,14,08-23 07:39:00,08-23 11:39:00,0823,240
lade-jilin-00195,195,Jilin,14,06-17 13:20:00,06-17 17:05:00,0617,225
lade-jilin-00196,196,Jilin,14,06-17 13:23:00,06-17 16:59:00,0617,216
lade-jilin-00197,197,Jilin,14,07-15 08:17:00,07-15 12:07:00,0715,230
lade-jilin-00198,198,Jilin,14,08-07 08:20:00,08-07 12:03:00,0807,223
lade-jilin-00199,199,Jilin,14,05-31 10:08:00,05-31 14:56:00,0531,288
lade-jilin-00200,200,Jilin,14,06-11 08:31:00,06-11 13:52:00,0611,321
lade-jilin-00201,201,Jilin,14,07-04 07:56:00,07-04 12:35:00,0704,279
lade-jilin-00202,202,Jilin,14,05-30 08:23:00,05-30 12:59:00,0530,276
lade-jilin-00203,203,Jilin,14,07-24 07:43:00,07-24 10:51:00,0724,188
lade-jilin-00204,204,Jilin,14,08-05 07:52:00,08-05 11:42:00,0805,230
lade-jilin-00205,205,Jilin,14,07-28 07:55:00,07-28 12:04:00,0728,249
lade-jilin-00206,206,Jilin,14,08-30 08:35:00,08-30 13:29:00,0830,294
lade-jilin-00207,207,Jilin,14,08-13 08:27:00,08-13 13:41:00,0813,314
lade-jilin-00208,208,Jilin,1,06-19 08:23:00,06-19 14:06:00,0619,343
lade-jilin-00209,209,Jilin,1,05-16 09:12:00,05-16 12:31:00,0516,199
lade-jilin-00210,210,Jilin,1,06-12 08:36:00,06-12 12:53:00,0612,257
lade-jilin-00211,211,Jilin,1,05-21 08:36:00,05-21 13:10:00,0521,274
lade-jilin-00212,212,Jilin,13,06-18 14:19:00,06-18 17:27:00,0618,188
lade-jilin-00213,213,Jilin,13,06-10 09:20:00,06-10 12:27:00,0610,187
lade-jilin-00214,214,Jilin,13,06-25 13:17:00,06-25 15:16:00,0625,119
lade-jilin-00215,215,Jilin,13,08-09 08:01:00,08-09 13:41:00,0809,340
lade-jilin-00216,216,Jilin,13,07-21 07:47:00,07-21 10:20:00,0721,153
lade-jilin-00217,217,Jilin,13,08-21 09:10:00,08-21 15:29:00,0821,379
lade-jilin-00218,218,Jilin,13,10-02 08:20:00,10-02 14:26:00,1002,366
lade-jilin-00219,219,Jilin,13,06-10 09:19:00,06-10 12:12:00,0610,173
lade-jilin-00220,220,Jilin,13,06-06 14:46:00,06-06 16:41:00,0606,115
lade-jilin-00221,221,Jilin,13,07-22 07:45:00,07-22 13:25:00,0722,340
lade-jilin-00222,222,Jilin,13,08-11 09:23:00,08-11 10:51:00,0811,88
lade-jilin-00223,223,Jilin,13,05-28 08:56:00,05-28 11:12:00,0528,136
lade-jilin-00224,224,Jilin,13,09-05 08:35:00,09-05 12:39:00,0905,244
lade-jilin-00225,225,Jilin,13,07-27 08:26:00,07-27 14:58:00,0727,392
lade-jilin-00226,226,Jilin,13,08-31 13:08:00,08-31 16:23:00,0831,195
lade-jilin-00227,227,Jilin,13,09-13 07:55:00,09-13 13:08:00,0913,313
lade-jilin-00228,228,Jilin,13,07-11 07:12:00,07-11 13:50:00,0711,398
lade-jilin-00229,229,Jilin,13,06-19 15:22:00,06-19 16:21:00,0619,59
lade-jilin-00230,230,Jilin,13,06-06 08:05:00,06-06 11:47:00,0606,222
lade-jilin-00231,231,Jilin,13,07-04 08:02:00,07-04 14:12:00,0704,370
lade-jilin-00232,232,Jilin,13,07-09 08:05:00,07-09 13:13:00,0709,308
lade-jilin-00233,233,Jilin,13,07-09 08:05:00,07-09 12:50:00,0709,285
lade-jilin-00234,234,Jilin,13,07-18 07:29:00,07-18 14:25:00,0718,416
lade-jilin-00235,235,Jilin,13,05-17 09:21:00,05-17 10:33:00,0517,72
lade-jilin-00236,236,Jilin,13,05-20 15:18:00,05-20 17:02:00,0520,104
lade-jilin-00237,237,Jilin,13,09-09 08:33:00,09-09 17:06:00,0909,513
lade-jilin-00238,238,Jilin,13,09-07 08:54:00,09-07 13:05:00,0907,251
lade-jilin-00239,239,Jilin,13,08-11 08:22:00,08-11 10:43:00,0811,141
lade-jilin-00240,240,Jilin,13,05-17 09:18:00,05-17 10:20:00,0517,62
lade-jilin-00241,241,Jilin,13,06-06 07:02:00,06-06 11:28:00,0606,266
lade-jilin-00242,242,Jilin,13,07-06 07:36:00,07-06 12:10:00,0706,274
lade-jilin-00243,243,Jilin,13,07-14 08:09:00,07-14 17:01:00,0714,532
lade-jilin-00244,244,Jilin,13,08-13 08:25:00,08-13 10:13:00,0813,108
lade-jilin-00245,245,Jilin,13,07-19 07:35:00,07-19 18:38:00,0719,663
lade-jilin-00246,246,Jilin,13,08-06 08:04:00,08-06 13:11:00,0806,307
lade-jilin-00247,247,Jilin,13,07-29 14:58:00,07-29 16:23:00,0729,85
lade-jilin-00248,248,Jilin,13,08-01 07:51:00,08-01 11:45:00,0801,234
lade-jilin-00249,249,Jilin,13,07-15 08:04:00,07-15 14:59:00,0715,415
lade-jilin-00250,250,Jilin,13,08-23 09:03:00,08-23 13:02:00,0823,239
lade-jilin-00251,251,Jilin,13,09-26 07:40:00,09-26 11:39:00,0926,239
lade-jilin-00252,252,Jilin,13,10-01 07:37:00,10-01 13:34:00,1001,357
lade-jilin-00253,253,Jilin,13,09-21 09:26:00,09-21 14:28:00,0921,302
lade-jilin-00254,254,Jilin,13,08-24 09:07:00,08-24 12:52:00,0824,225
lade-jilin-00255,255,Jilin,13,07-21 07:49:00,07-21 10:36:00,0721,167
lade-jilin-00256,256,Jilin,13,07-22 07:44:00,07-22 13:45:00,0722,361
lade-jilin-00257,257,Jilin,13,08-16 07:56:00,08-16 12:03:00,0816,247
lade-jilin-00258,258,Jilin,13,08-24 09:07:00,08-24 12:47:00,0824,220
lade-jilin-00259,259,Jilin,13,09-03 08:34:00,09-03 10:55:00,0903,141
lade-jilin-00260,260,Jilin,13,09-12 08:16:00,09-12 12:24:00,0912,248
lade-jilin-00261,261,Jilin,13,08-15 08:06:00,08-15 11:13:00,0815,187
lade-jilin-00262,262,Jilin,13,09-28 08:30:00,09-28 11:39:00,0928,189
lade-jilin-00263,263,Jilin,13,05-27 08:50:00,05-27 13:26:00,0527,276
lade-jilin-00264,264,Jilin,13,09-16 08:59:00,09-16 11:06:00,0916,127
lade-jilin-00265,265,Jilin,13,09-19 07:59:00,09-19 11:40:00,0919,221
lade-jilin-00266,266,Jilin,13,09-28 08:30:00,09-28 11:28:00,0928,178
lade-jilin-00267,267,Jilin,13,08-12 08:48:00,08-12 11:26:00,0812,158
lade-jilin-00268,268,Jilin,13,08-19 08:08:00,08-19 14:21:00,0819,373
lade-jilin-00269,269,Jilin,13,07-25 07:41:00,07-25 10:48:00,0725,187
lade-jilin-00270,270,Jilin,13,08-11 09:23:00,08-11 10:23:00,0811,60
lade-jilin-00271,271,Jilin,13,06-18 14:17:00,06-18 16:07:00,0618,110
lade-jilin-00272,272,Jilin,13,05-18 09:13:00,05-18 14:12:00,0518,299
lade-jilin-00273,273,Jilin,13,05-20 15:18:00,05-20 16:48:00,0520,90
lade-jilin-00274,274,Jilin,13,07-19 07:35:00,07-19 12:33:00,0719,298
lade-jilin-00275,275,Jilin,1,10-02 08:10:00,10-02 10:59:00,1002,169
lade-jilin-00276,276,Jilin,14,07-01 07:54:00,07-01 13:17:00,0701,323
lade-jilin-00277,277,Jilin,14,10-12 09:11:00,10-12 13:51:00,1012,280
lade-jilin-00278,278,Jilin,14,10-10 08:40:00,10-10 16:26:00,1010,466
lade-jilin-00279,279,Jilin,1,08-18 12:29:00,08-18 12:40:00,0818,11
lade-jilin-00280,280,Jilin,1,07-19 07:38:00,07-19 12:29:00,0719,291
lade-jilin-00281,281,Jilin,14,06-09 13:39:00,06-09 16:48:00,0609,189
lade-jilin-00282,282,Jilin,14,08-02 08:25:00,08-02 09:09:00,0802,44
lade-jilin-00283,283,Jilin,1,08-08 08:54:00,08-08 17:43:00,0808,529
lade-jilin-00284,284,Jilin,1,09-05 08:33:00,09-05 14:09:00,0905,336
lade-jilin-00285,285,Jilin,1,09-01 09:21:00,09-01 16:14:00,0901,413
lade-jilin-00286,286,Jilin,1,07-03 08:51:00,07-03 10:34:00,0703,103
lade-jilin-00287,287,Jilin,1,09-21 09:24:00,09-21 12:52:00,0921,208
lade-jilin-00288,288,Jilin,1,05-24 09:08:00,05-24 11:23:00,0524,135
lade-jilin-00289,289,Jilin,1,08-28 08:47:00,08-28 14:08:00,0828,321
lade-jilin-00290,290,Jilin,1,06-14 08:03:00,06-14 10:03:00,0614,120
lade-jilin-00291,291,Jilin,1,10-04 07:57:00,10-04 18:19:00,1004,622
lade-jilin-00292,292,Jilin,1,09-23 07:53:00,09-23 14:08:00,0923,375
lade-jilin-00293,293,Jilin,1,06-19 09:47:00,06-19 11:17:00,0619,90
lade-jilin-00294,294,Jilin,1,07-14 08:11:00,07-14 13:54:00,0714,343
lade-jilin-00295,295,Jilin,1,09-04 08:55:00,09-04 14:12:00,0904,317
lade-jilin-00296,296,Jilin,1,09-26 07:39:00,09-26 14:12:00,0926,393
lade-jilin-00297,297,Jilin,1,08-08 08:56:00,08-08 17:35:00,0808,519
lade-jilin-00298,298,Jilin,1,09-18 08:16:00,09-18 13:31:00,0918,315
lade-jilin-00299,299,Jilin,1,07-21 07:50:00,07-21 12:36:00,0721,286
lade-jilin-00300,300,Jilin,1,07-13 07:39:00,07-13 10:34:00,0713,175
lade-jilin-00301,301,Jilin,1,09-26 07:40:00,09-26 13:41:00,0926,361
lade-jilin-00302,302,Jilin,1,08-01 07:55:00,08-01 12:58:00,0801,303
lade-jilin-00303,303,Jilin,1,06-06 14:44:00,06-06 17:00:00,0606,136
lade-jilin-00304,304,Jilin,1,08-01 07:50:00,08-01 13:57:00,0801,367
lade-jilin-00305,305,Jilin,1,08-22 09:03:00,08-22 13:29:00,0822,266
lade-jilin-00306,306,Jilin,1,05-16 09:37:00,05-16 12:41:00,0516,184
lade-jilin-00307,307,Jilin,1,08-20 08:25:00,08-20 13:01:00,0820,276
lade-jilin-00308,308,Jilin,1,05-30 08:31:00,05-30 14:15:00,0530,344
lade-jilin-00309,309,Jilin,1,05-20 08:37:00,05-20 13:12:00,0520,275
lade-jilin-00310,310,Jilin,1,08-06 08:00:00,08-06 15:08:00,0806,428
lade-jilin-00311,311,Jilin,1,07-15 08:05:00,07-15 12:00:00,0715,235
lade-jilin-00312,312,Jilin,1,05-16 09:26:00,05-16 12:33:00,0516,187
lade-jilin-00313,313,Jilin,1,05-30 08:32:00,05-30 11:55:00,0530,203
lade-jilin-00314,314,Jilin,1,05-30 08:31:00,05-30 12:04:00,0530,213
lade-jilin-00315,315,Jilin,1,07-01 07:35:00,07-01 11:08:00,0701,213
lade-jilin-00316,316,Jilin,1,05-20 08:51:00,05-20 13:32:00,0520,281
