ames_order,overall_quality,year_built,year_sold,first_floor_sqft,second_floor_sqft,living_area_sqft,basement_sqft,garage_cars,garage_area_sqft,sale_price_usd
123,6,1964,2010,1131,644,1775,533,2,480,136300
124,5,1964,2010,1152,0,1152,1152,2,484,180500
125,6,1963,2010,1054,0,1054,936,2,480,137500
126,5,1962,2010,1728,0,1728,1728,0,0,84900
127,5,1950,2010,1078,0,1078,1078,1,240,142125
128,5,1952,2010,1929,532,2461,1140,2,400,197600
129,6,1949,2010,1019,537,1556,782,2,470,172500
130,5,1958,2010,858,0,858,858,0,0,116500
131,3,1940,2010,1306,0,1306,728,0,0,76500
132,5,1954,2010,1063,0,1063,1056,1,280,128000
133,6,1955,2010,1520,0,1520,1156,1,364,153000
134,5,1954,2010,1268,0,1268,1268,1,244,132000
135,6,1966,2010,1128,0,1128,1080,1,315,178000
136,5,1960,2010,1105,1169,2274,1105,2,480,154300
137,7,1970,2010,2207,0,2207,1947,2,576,180000
138,6,1966,2010,1888,0,1888,1517,2,578,190000
139,5,1958,2010,1604,0,1604,1604,2,576,135000
140,7,2003,2010,1480,0,1480,1480,2,620,214000
141,5,1959,2010,1143,0,1143,1143,1,308,136000
142,5,1959,2010,1700,0,1700,1398,2,447,165500
143,5,1957,2010,1314,0,1314,1314,1,294,145000
144,6,1959,2010,1194,0,1194,1194,1,312,148000
145,5,1959,2010,1188,0,1188,1188,2,531,142000
146,5,1960,2010,1264,0,1264,1268,2,461,167500
147,5,1959,2010,1206,0,1206,1206,1,312,108538
148,6,1959,2010,1580,0,1580,1244,2,440,159500
149,4,1956,2010,832,505,1337,832,1,263,108000
150,5,1952,2010,1064,0,1064,864,1,318,135000
151,5,1955,2010,972,0,972,972,1,305,122500
152,5,1958,2010,988,0,988,988,1,264,119000
153,5,1953,2010,1057,0,1057,1057,1,246,109000
154,4,1920,2010,985,0,985,576,2,676,105000
155,5,1955,2010,827,0,827,0,1,392,107500
156,5,1954,2010,1086,0,1086,1086,2,490,144900
157,5,1956,2010,936,0,936,936,1,308,129000
158,6,1948,2010,912,546,1458,912,1,330,97500
159,6,1980,2010,1056,0,1056,1056,2,576,144000
160,5,1959,2010,1287,0,1287,1063,2,576,162000
161,7,1967,2010,1898,1080,2978,710,2,564,242000
162,6,1948,2010,816,408,1224,816,1,280,132000
163,5,1959,2010,1246,0,1246,1246,1,305,154000
164,5,1952,2010,910,475,1385,910,2,720,166000
165,5,1951,2010,900,0,900,900,2,576,134800
166,6,1962,2010,1116,0,1116,1116,2,440,160000
167,5,1960,2010,1175,0,1175,1175,2,484,148000
168,6,1963,2010,1395,0,1395,1395,2,440,192000
169,6,1966,2010,1051,788,1839,756,2,442,155000
170,4,1900,2010,1157,687,1844,709,1,240,80400
171,4,1910,2010,792,348,1140,576,0,0,96500
172,5,1920,2010,936,0,936,936,0,0,109500
173,5,1927,2010,1028,0,1028,1008,2,360,115000
174,5,1957,2010,1347,0,1347,1347,2,551,143000
175,3,1915,2010,840,765,1605,840,1,379,107400
176,4,1945,2010,747,0,747,747,1,220,80000
177,5,1940,2010,804,0,804,788,1,240,119000
178,5,1929,2010,926,0,1316,926,2,484,130000
179,6,1938,2010,827,424,1251,827,1,240,119000
180,5,1948,2010,1027,606,1633,1027,1,240,129000
181,5,1920,2010,1060,185,1245,1008,1,315,100000
182,2,1923,2010,832,0,832,678,2,780,12789
183,6,1928,2010,720,0,720,624,2,484,105900
184,8,1900,2010,930,636,1566,930,1,288,150000
185,5,1915,2010,966,686,1652,686,1,416,139000
186,8,1890,2010,1157,1111,2268,346,2,624,240000
187,5,1910,2010,1128,1128,2256,840,0,0,76500
188,6,1957,2010,1236,0,1236,912,2,923,149700
189,4,1910,2010,741,622,1363,622,2,528,125500
190,4,1885,2010,1246,1044,2290,777,2,560,122500
191,6,1922,2010,868,602,1470,738,2,624,140750
192,5,1950,2010,1030,582,1612,988,1,363,128500
193,7,1922,2010,1160,908,2068,1108,1,315,209500
194,4,1925,2010,765,0,765,765,1,200,87000
195,6,1939,2010,608,524,1132,608,1,240,134000
196,6,1940,2010,848,348,1196,572,2,576,128000
197,5,1942,2010,955,498,1453,835,1,240,132000
198,6,1948,2010,780,636,1416,780,1,312,139900
199,5,1936,2010,548,492,1040,528,2,624,123900
200,5,1930,2010,928,608,1536,928,2,480,138400
201,6,1923,2010,1068,0,1068,1124,1,288,109500
202,7,1921,2010,902,808,1710,576,2,480,140000
203,4,1915,2010,888,1074,1962,888,2,572,149500
204,6,1912,2010,780,780,1560,780,0,0,159900
205,6,1920,2010,662,662,1324,662,1,180,122000
206,5,1963,2010,816,0,816,816,2,516,110000
207,4,1930,2010,372,720,1092,0,0,0,55000
208,5,1900,2010,1032,780,1812,360,2,672,140000
209,7,1940,2010,1207,1196,2403,1032,1,349,244400
210,5,1959,2010,1675,0,1675,1422,1,365,173000
211,5,1917,2010,725,499,1224,689,1,180,107500
212,5,1915,2010,1212,180,1392,1212,0,0,100000
213,6,1940,2010,600,319,919,600,1,231,95000
214,4,1907,2010,942,942,1884,707,0,0,93369
215,5,1910,2010,936,744,1680,856,2,450,114900
216,5,1875,2010,780,240,1020,780,0,0,94000
217,4,1967,2010,1832,0,1832,1832,0,0,136000
218,4,1968,2010,1768,0,1768,1768,0,0,136500
219,5,1965,2010,1039,0,1039,1039,2,504,131500
220,5,1957,2010,1392,0,1392,1392,2,528,121500
221,5,1967,2010,912,0,912,912,1,336,125000
222,5,1968,2010,1060,0,1060,1060,1,270,154000
223,5,1966,2010,892,0,892,864,1,416,137900
224,6,1969,2010,663,689,1352,663,1,299,158000
225,5,1968,2010,864,0,864,864,1,280,137250
226,5,1978,2010,1373,0,1373,1319,2,591,160250
227,5,1968,2010,720,720,1440,720,2,480,163000
228,6,1978,2010,672,714,1386,672,2,440,158900
229,7,1996,2010,1306,954,2260,1306,2,533,328000
230,7,1977,2010,1483,0,1483,1420,2,690,270000
231,4,1927,2010,756,0,756,660,2,440,85000
232,4,1950,2010,1067,0,1067,1067,2,436,128000
233,7,1979,2010,1332,192,1524,1332,2,586,260000
234,6,1978,2010,1117,864,1981,1117,2,522,230000
235,3,1938,2010,1052,558,1610,972,1,480,124000
236,5,1920,2010,835,0,835,458,1,366,83000
237,6,1950,2010,1074,0,1074,663,1,467,144500
238,5,1956,2010,1144,0,1144,1144,1,596,129000
239,4,1947,2010,1169,0,1531,756,1,209,127000
240,5,1954,2010,1172,0,1172,1172,1,366,128000
241,6,2009,2010,1212,0,1212,1212,2,460,186000
242,7,2009,2010,1508,0,1508,1508,2,572,308030
243,5,1964,2010,1298,0,1298,1250,2,504,114000
244,4,1946,2010,930,0,930,0,1,308,84900
245,6,1985,2010,977,755,1732,741,2,476,178000
246,7,1987,2010,1433,0,1433,1433,2,528,270000
247,6,1993,2010,964,838,1802,946,4,1017,218000
248,7,1993,2010,1062,887,1949,1050,2,574,236000
249,6,1992,2010,996,0,996,936,2,564,147000
250,8,2008,2010,1694,0,1694,1694,3,776,245350
251,7,2006,2010,1208,0,1208,1187,2,632,206000
252,7,2009,2010,1226,0,1226,1226,3,740,198900
253,7,2010,2010,1222,0,1222,1222,2,615,187000
254,7,1990,2010,1699,1523,3222,1673,3,594,320000
255,6,1900,2010,831,614,1445,676,2,484,138500
256,6,1971,2010,1052,0,1052,1010,2,440,155000
257,5,1996,2010,965,0,965,870,2,580,159000
258,7,1997,2010,892,800,1692,878,2,513,191000
259,6,1998,2010,804,878,1682,804,2,523,200500
260,5,1977,2010,1026,0,1026,1026,1,308,150000
261,6,1977,2010,689,703,1392,689,1,299,161750
262,5,1976,2010,894,0,894,894,1,308,128200
263,5,1972,2010,876,0,876,876,2,484,127000
264,8,2003,2010,1978,0,1978,1978,3,850,318000
265,8,2001,2010,1601,0,1601,1581,2,670,272000
266,7,2003,2010,941,888,1829,941,2,613,237000
267,7,1997,2010,1044,1054,2098,1040,2,621,240000
268,7,1998,2010,1661,0,1661,1649,2,598,224900
269,6,2003,2010,848,0,848,848,2,420,143750
270,6,2004,2010,848,0,848,848,2,420,143000
271,8,2003,2010,1668,0,1668,1657,2,502,232000
272,7,2004,2010,1484,0,1484,1473,2,606,213000
273,7,2004,2010,1414,0,1414,1414,2,494,185500
274,3,1945,2010,640,0,640,0,1,240,84900
275,5,1954,2010,992,0,992,381,1,319,155891
276,5,1965,2010,1664,0,1664,0,0,0,100000
277,5,1968,2010,1196,0,1196,1196,1,336,144000
278,4,1948,2010,792,328,1120,744,2,480,64000
279,6,1975,2010,1096,0,1096,1008,1,352,125200
280,6,1976,2010,1117,0,1117,1029,2,672,107000
281,4,1958,2010,960,0,960,960,0,0,90000
282,4,2003,2010,1121,0,1121,1121,2,440,140000
283,6,1945,2010,798,689,1487,735,1,220,113000
284,4,1941,2010,672,252,924,672,1,280,80000
285,5,1957,2010,1526,0,1526,1216,1,364,144500
286,5,1924,2010,1296,0,1296,1107,1,260,104000
287,6,1915,2010,841,806,1647,806,1,216,128000
288,3,1914,2010,864,0,864,864,1,200,58500
289,5,1924,2010,1026,665,1691,1026,1,308,127000
290,6,1939,2010,856,0,856,856,2,399,126000
291,4,1967,2010,862,1788,2650,0,0,0,160000
292,5,1931,2010,894,772,1666,894,0,0,100000
293,6,1919,2010,1699,748,2447,804,1,336,169000
294,7,1941,2010,1225,908,2133,1528,1,312,257500
295,5,1950,2010,1102,1075,2177,1032,2,484,215000
296,7,1941,2010,1188,1152,2340,1152,1,252,266500
297,7,1959,2010,1902,0,1902,1902,2,567,335000
298,7,1994,2010,896,756,1652,423,2,473,203135
299,8,1989,2010,1034,0,1034,982,2,598,185000
300,8,1989,2010,1191,0,1191,1191,2,531,162500
301,7,1959,2010,1801,0,1801,1501,2,484,289000
302,4,1922,2010,796,358,1154,796,1,240,125500
303,2,1941,2010,540,0,540,480,1,200,82000
304,6,1921,2010,727,380,1107,629,1,625,110000
305,4,1920,2010,698,430,1128,698,2,528,68400
306,4,1900,2010,859,319,1178,859,1,384,102776
307,5,1952,2010,1044,0,1044,540,2,504,55993
308,4,1896,2010,952,0,952,756,1,330,50138
309,8,2004,2010,1646,0,1646,1594,2,525,246000
310,8,1998,2010,1036,880,1916,1049,3,741,254900
311,6,1977,2010,1285,0,1285,1243,2,473,190000
312,7,2003,2010,1560,0,1560,1560,2,573,201000
313,6,1976,2010,1034,0,1034,1012,3,888,169900
314,6,1976,2010,2048,0,2048,1958,2,776,170000
315,5,1948,2010,1687,0,1687,747,2,572,160000
316,7,2008,2010,1346,0,1346,1336,3,660,220000
317,7,2009,2010,1214,0,1214,1214,2,520,179781
318,5,2006,2010,744,700,1444,384,2,400,174000
319,8,2009,2010,774,1194,1968,774,3,680,269500
320,7,2002,2010,824,1070,1894,817,2,510,214900
321,8,2002,2010,993,915,1908,967,2,431,202900
322,9,2008,2010,2018,0,2018,2002,3,746,378500
323,5,1965,2010,1264,0,1264,1068,2,528,169000
324,5,2004,2010,1430,0,1430,1430,2,624,173500
325,6,1971,2010,912,912,1824,912,0,0,139000
326,5,1999,2010,1344,0,1344,1344,2,686,166500
327,4,1973,2010,546,546,1092,546,1,286,83500
328,5,1973,2010,945,0,945,945,1,253,119500
329,5,1976,2010,536,576,1112,536,1,336,85000
330,4,1970,2010,546,546,1092,546,0,0,76000
331,4,1972,2010,630,0,630,630,0,0,75500
332,4,1970,2010,546,546,1092,546,0,0,88250
333,4,1972,2010,546,546,1092,546,1,286,85500
334,5,1971,2010,874,0,874,864,1,352,130000
335,5,1962,2010,1188,0,1188,1188,1,312,157900
336,5,1984,2010,833,0,833,833,2,495,149900
337,5,1985,2010,1216,1216,2432,1216,2,616,159000
338,5,1991,2010,624,650,1274,624,2,576,136000
339,5,1969,2010,864,615,1479,864,1,275,161000
340,8,1994,2010,1803,0,1803,1679,2,482,285000
341,6,1993,2010,1152,645,1797,1152,2,616,231000
342,6,1956,2009,882,0,882,882,1,502,124500
343,6,1974,2009,1434,0,1434,1434,2,528,157000
344,8,1972,2009,2000,704,2704,1952,2,538,345000
345,6,1997,2009,945,663,1608,945,2,470,189500
346,8,2003,2009,1008,1275,2283,1008,3,632,270000
347,7,1996,2009,958,670,1628,384,2,390,189000
348,9,2006,2009,1746,0,1746,1746,3,758,377500
349,7,1995,2009,804,670,1474,384,2,400,168500
350,8,2004,2009,2522,0,2522,2208,2,564,375000
351,8,2000,2009,1659,0,1659,1501,2,499,278000
352,8,1998,2009,1478,0,1478,1418,2,495,240000
353,8,1995,2009,1734,0,1734,1587,2,528,239500
354,7,1998,2009,751,631,1382,384,2,396,177500
355,7,1998,2009,885,833,1718,832,2,427,185000
356,6,1998,2009,952,684,1636,952,2,440,191000
357,6,1993,2009,799,772,1571,799,2,380,178000
358,6,1993,2009,680,790,1470,680,2,420,185000
359,6,1994,2009,707,809,1516,707,2,409,181316
360,6,1993,2009,1190,0,1190,1181,2,430,166000
361,6,1992,2009,808,785,1593,808,2,389,178000
362,6,1994,2009,702,779,1481,702,2,343,174000
363,6,1992,2009,1167,0,1167,1158,2,400,173000
364,7,1999,2009,1005,978,1983,978,2,490,225000
365,7,1990,2009,1442,0,1442,1424,2,500,180500
366,8,1984,2009,1360,0,1360,1220,2,565,187500
367,9,2008,2009,2234,0,2234,2216,3,1166,501837
368,8,2008,2009,2046,0,2046,2046,3,834,372500
369,7,2005,2009,1530,0,1530,1530,2,430,260000
370,5,1977,2009,946,988,1934,1122,2,567,185000
371,7,1980,2009,1153,1200,2353,845,2,484,260000
372,6,1979,2009,1586,0,1586,1362,2,435,181000
373,7,1977,2009,1411,0,1411,1386,2,544,82500
374,6,1977,2009,1602,0,1602,1602,2,529,215000
375,7,1978,2009,1154,896,2050,832,2,529,154000
376,6,1978,2009,1671,0,1671,1427,2,484,200000
377,7,1980,2009,1539,1134,2673,1043,2,441,249000
378,7,1980,2009,1472,0,1472,1372,2,588,187500
379,6,1978,2009,1707,0,1707,1140,2,479,184000
380,8,1981,2009,2524,0,2524,2524,2,542,278000
381,7,1978,2009,1601,0,1601,1271,2,478,157000
382,7,1976,2009,1370,0,1370,1090,2,479,152000
383,5,1976,2009,1088,780,1868,780,2,484,197500
384,7,2003,2009,1016,868,1884,926,2,581,240900
385,8,2009,2009,832,1103,1935,832,2,552,263435
386,8,2000,2009,1058,816,1874,1058,2,588,220000
387,8,2002,2009,972,839,1811,972,2,565,235000
388,5,1975,2009,1621,0,1621,1621,2,478,213000
389,6,1974,2009,1116,0,1116,1116,2,528,167900
390,7,1975,2009,1193,0,1193,1176,2,506,158000
391,6,1974,2009,1350,0,1350,1064,2,478,165000
392,6,1972,2009,1378,741,2119,689,2,583,158000
393,5,1974,2009,896,896,1792,896,0,0,136000
394,5,1970,2009,1002,0,1002,1002,2,902,148500
395,6,1969,2009,1026,0,1026,1026,2,440,156000
396,5,1970,2009,1180,0,1180,1180,2,477,128000
397,5,1971,2009,1050,0,1050,1043,1,336,143000
398,4,1970,2009,864,0,864,864,2,576,76500
399,4,1970,2009,864,0,864,864,2,660,120500
400,4,1970,2009,864,0,864,864,2,463,124500
401,4,1971,2009,864,0,864,864,2,576,97000
402,4,1971,2009,864,0,864,864,2,576,130000
403,6,1973,2009,483,504,987,483,1,264,111000
404,5,1970,2009,765,600,1365,765,2,440,125000
405,5,1971,2009,630,672,1302,630,1,280,112000
406,6,1972,2009,483,504,987,483,1,288,97000
407,6,1972,2009,483,504,987,483,1,264,118000
408,5,1972,2009,630,672,1302,630,1,264,119500
409,6,1976,2009,958,0,958,958,2,440,143750
410,6,1976,2009,804,744,1548,804,2,440,146000
411,6,1976,2009,855,601,1456,855,2,440,148500
412,7,1975,2009,1055,0,1055,1057,2,440,123000
413,6,1974,2009,855,467,1322,855,2,440,147000
414,6,1977,2009,855,601,1456,855,2,440,137900
415,6,1978,2009,804,744,1548,804,2,440,147000
416,6,1978,2009,855,586,1441,855,2,440,148500
417,6,1978,2009,855,601,1456,855,2,440,138000
418,7,1976,2009,836,0,836,836,1,345,128500
419,5,1967,2009,892,0,892,892,1,288,100000
420,5,1966,2009,1120,0,1120,864,2,656,148800
421,10,2006,2009,1718,0,1718,1700,3,786,337500
422,9,2007,2009,1794,978,2772,1776,3,754,462000
423,9,2008,2009,1966,1174,3140,1926,3,820,485000
424,10,2008,2009,2402,0,2402,3094,3,672,555000
425,9,2006,2009,1652,0,1652,1652,2,840,325000
426,8,2007,2009,1600,0,1600,1566,3,890,256300
427,8,2008,2009,2042,0,2042,2042,3,1390,253293
428,9,2009,2009,1365,1325,2690,1365,3,864,398800
429,9,2008,2009,1130,1054,2184,1104,3,836,335000
430,9,2008,2009,2020,0,2020,2020,3,896,404000
431,10,2009,2009,2020,0,2020,2006,3,900,402861
432,10,2008,2009,1728,568,2296,1722,3,842,451950
433,10,2007,2009,2674,0,2674,2630,3,762,610000
434,9,2008,2009,1734,1088,2822,1734,3,1020,582933
435,9,2008,2009,1736,0,1736,1736,3,834,360000
436,8,2004,2009,1782,0,1782,1782,3,932,296000
437,8,2007,2009,1508,1012,2520,1508,3,640,409900
438,8,2006,2009,1717,0,1717,1709,3,908,255500
439,9,2008,2009,1743,0,1743,1739,3,927,335000
440,8,2004,2009,1713,0,1713,1713,3,856,274900
441,9,2006,2009,1531,0,1531,1504,3,700,300000
442,9,2008,2009,1808,0,1808,1774,3,850,324000
443,9,2004,2009,1462,762,2224,1462,3,738,350000
444,8,2004,2009,1836,0,1836,1836,3,862,280000
445,8,2003,2009,1629,0,1629,3206,3,880,284000
446,7,2003,2009,1760,0,1760,1760,2,583,269500
447,7,2009,2009,1502,0,1502,1502,2,644,233170
448,10,2003,2009,2392,0,2392,2392,3,968,386250
449,9,2003,2009,2452,0,2452,2452,3,886,445000
450,8,2003,2009,1105,1295,2400,1082,3,730,290000
451,8,2006,2009,1606,0,1606,1598,3,871,255900
452,6,2005,2009,1358,0,1358,1358,2,484,213000
453,6,2005,2009,1306,0,1306,1306,2,624,196000
454,6,2005,2009,1306,0,1306,1306,2,624,184500
455,7,2007,2009,1358,0,1358,1350,2,484,212500
456,7,2007,2009,1314,0,1314,1314,2,626,230000
457,10,2004,2009,2492,0,2492,2492,3,949,552000
458,8,2003,2009,2200,0,2200,2200,3,685,382500
459,9,2008,2009,1884,0,1884,1884,2,649,320000
460,9,2008,2009,1456,0,1456,1451,2,539,248500
461,8,2002,2009,1712,0,1712,1712,3,701,286500
462,8,2006,2009,1324,0,1324,1324,2,550,254000
463,7,2003,2009,1405,0,1405,1405,2,478,173000
464,7,2003,2009,764,862,1626,764,2,474,173000
465,7,2005,2009,728,728,1456,728,2,390,184000
466,6,2005,2009,745,745,1490,745,2,392,167800
467,6,2005,2009,742,742,1484,742,2,390,174000
468,6,2005,2009,684,876,1560,684,2,400,174000
469,7,2007,2009,1555,0,1555,1373,3,660,174000
470,7,2007,2009,1569,0,1569,1386,3,660,175900
471,7,2005,2009,1555,0,1555,1373,2,430,192500
472,7,2005,2009,1504,0,1504,1346,2,457,181000
473,7,2005,2009,1220,0,1220,1220,2,397,180000
474,7,2005,2009,1145,0,1145,1145,2,397,160200
475,7,2004,2009,716,716,1432,716,2,432,188500
476,6,2002,2009,1010,1257,2267,1010,2,390,200000
477,7,2004,2009,744,630,1374,384,2,400,170000
478,7,2004,2009,868,762,1630,868,2,436,189500
479,8,2002,2009,779,640,1419,408,2,527,184100
480,7,2004,2009,846,748,1594,846,2,434,195500
481,7,2003,2009,806,683,1489,782,2,400,192000
482,7,2003,2009,698,644,1342,698,2,393,178000
483,7,2007,2009,1314,0,1314,1314,2,626,207500
484,7,2000,2009,980,1276,2256,952,2,554,236000
485,8,2002,2009,878,1126,2004,870,3,644,257500
486,6,2000,2009,1022,1032,2054,992,2,390,244000
487,7,2004,2009,744,630,1374,384,2,400,167000
488,6,2000,2009,1007,793,1800,982,2,463,179000
489,6,2000,2009,819,695,1514,794,2,394,190000
490,7,1999,2009,774,656,1430,384,2,400,156000
491,7,1999,2009,1223,1089,2312,1177,3,658,245000
492,6,1999,2009,892,783,1675,841,2,502,181000
493,7,1999,2009,1022,1038,2060,992,2,390,214000
494,7,1999,2009,774,656,1430,384,2,410,168000
495,8,1999,2009,1268,1097,2365,1252,3,856,337000
496,8,1995,2009,1490,1304,2794,1462,3,810,403000
497,8,2000,2009,1466,1221,2687,1455,3,810,327000
498,8,1998,2009,1310,1140,2450,1284,3,1069,340000
499,8,1998,2009,1276,1336,2612,1225,3,676,336000
500,7,1996,2009,1277,1067,2344,1264,3,889,265000
501,8,1994,2009,2063,0,2063,2024,3,815,315000
502,7,1993,2009,1372,1274,2646,1347,3,656,260000
503,7,1995,2009,1094,967,2061,1070,2,647,260000
504,8,1993,2009,1215,1017,2232,1173,2,623,263550
505,8,1994,2009,1686,762,2448,1629,3,711,402000
506,7,1994,2009,979,871,1850,973,2,467,248000
507,8,2008,2009,1468,0,1468,1468,3,898,244600
508,8,2008,2009,1696,0,1696,1696,3,972,275000
509,8,2008,2009,1658,0,1658,1614,3,726,257500
510,8,2008,2009,1578,0,1578,1573,3,840,287090
